JUGADORJUGADOR,EQUIPOEQUIPO,JJ,TBTB,CC,HH,2B2B,3B3B,HRHR,CICI,BBBB,PP,BRBR,ARAR,PROPRO,OBPOBP,SLGSLG,OPSOPS
Renato N̼̱ez1B,Saraperos,28,109,19,34,4,0,7,21,17,17,0,1,0.31,0.42,0.54,0.96
Angel ReyesCF,Rieleros,28,109,15,34,2,0,6,18,6,25,6,1,0.31,0.35,0.5,0.85
Lorenzo CedrolaCF,Pericos,26,100,18,31,5,0,2,7,2,10,5,1,0.31,0.33,0.42,0.75
Balbino FuenmayorDH,Acereros,26,107,14,33,5,0,8,28,1,36,0,0,0.31,0.32,0.58,0.9
Jonathan Villar3B,Algodoneros,27,101,15,31,6,0,2,12,13,14,8,0,0.31,0.39,0.43,0.82
Yonathan DazaCF,Guerreros,23,89,16,27,10,0,0,14,7,11,1,0,0.3,0.37,0.42,0.78
Josh BroughtonCF,Piratas,28,99,15,30,7,2,0,15,7,14,4,3,0.3,0.35,0.41,0.77
Victor Mendoza1B,Sultanes,25,96,12,29,4,0,3,15,14,16,1,0,0.3,0.4,0.44,0.84
Leobaldo CabreraRF,Olmecas,24,87,13,26,4,1,2,18,8,21,2,1,0.3,0.35,0.44,0.78
Ryan Aguilar1B,Tecos,26,71,10,21,3,0,2,10,3,20,2,0,0.3,0.34,0.42,0.77
Saul GarzaDH,Rieleros,24,78,17,23,3,0,7,18,9,32,0,1,0.3,0.39,0.6,0.99
Danny SantanaLF,Guerreros,25,85,20,25,4,0,1,13,13,29,2,0,0.29,0.41,0.38,0.78
Jecksson FloresRF,Acereros,22,75,16,22,4,1,0,7,16,16,5,2,0.29,0.43,0.37,0.8
Alberto RodriguezRF,Rieleros,21,75,16,22,4,1,1,6,11,9,2,1,0.29,0.4,0.41,0.81
Jasson AtondoSS,Olmecas,24,99,11,29,5,0,0,11,8,15,3,4,0.29,0.35,0.34,0.69
Sandber PimentelDH,Bravos,26,89,12,26,7,0,4,24,25,25,0,0,0.29,0.46,0.51,0.96
Jose GomezSS,Rieleros,20,72,7,21,8,0,1,12,4,14,0,0,0.29,0.33,0.44,0.78
Felix PerezDH,Olmecas,25,96,14,28,4,0,4,13,11,21,0,1,0.29,0.37,0.46,0.83
Gustavo NunezSS,Sultanes,20,79,14,23,5,2,1,11,5,10,7,1,0.29,0.34,0.44,0.78
Gaige HowardRF,Tigres,28,100,23,29,6,0,5,16,26,14,0,4,0.29,0.44,0.5,0.94
Agustin Murillo3B,Tigres,26,100,14,29,4,0,0,7,9,19,5,3,0.29,0.36,0.33,0.69
